127.0.0.1 - - [12/May/2018:12:40:34 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/main.jsp HTTP/1.1" 200 5886
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesame1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesame2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesame3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesame4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesame5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameBest1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameBest2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameBest3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameBest4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameNew1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameNew2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameNew3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/thesameNew4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/event1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/event2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:36 +0900] "GET /Project1/images/event3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:48 +0900] "GET /Project1/main.jsp HTTP/1.1" 200 5886
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesame1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesame5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesame2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesame3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesame4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameBest1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameBest2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameBest3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameBest4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameNew1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameNew3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameNew2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/event1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/event2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/thesameNew4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /Project1/images/event3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:49 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:51 +0900] "GET /Project1/signUp.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [12/May/2018:12:40:56 +0900] "POST /Project1/signUpProc.jsp HTTP/1.1" 200 272
